ym,year,month,upi_volume_cr,upi_value_cr
2021-06,2021,6,280.752,547373.16
2021-07,2021,7,324.78200000000004,605883.2
2021-08,2021,8,355.555,639116.95
2021-09,2021,9,365.43,654648.28
2021-10,2021,10,421.86400000000003,771406.99
2021-11,2021,11,418.64799999999997,768436.09
2021-12,2021,12,456.63,826848.23
2022-01,2022,1,461.716,831993.09
2022-02,2022,2,452.74899999999997,826843.02
2022-03,2022,3,540.5649999999999,960581.67
2022-06,2022,6,586.275,1014412.63
2022-07,2022,7,628.8399999999999,1063117.04
2022-08,2022,8,657.963,1073162.17
2022-09,2022,9,678.08,1116438.09
2022-10,2022,10,730.542,1211587.5
2022-11,2022,11,730.946,1190593.39
2022-12,2022,12,782.949,1281970.86
2023-01,2023,1,803.6890000000001,1299058.78
2023-02,2023,2,753.476,1235846.58
2023-03,2023,3,868.53,1404950.59
2023-06,2023,6,933.506,1475464.26
2023-07,2023,7,996.426,1533536.44
2023-08,2023,8,1058.602,1576536.54
2023-09,2023,9,1055.569,1579133.18
2023-10,2023,10,1140.8790000000001,1715768.34
2023-11,2023,11,1123.529,1739740.61
2023-12,2023,12,1202.023,1822949.45
2024-01,2024,1,1220.3020000000001,1841083.97
2024-02,2024,2,1210.267,1827869.35
2024-03,2024,3,1344.0,1978353.23
2024-06,2024,6,1388.514,2007081.2
2024-07,2024,7,1443.5549999999998,2064292.41
2024-08,2024,8,1496.3049999999998,2060735.57
2024-09,2024,9,1504.175,2063994.71
2024-10,2024,10,1658.497,2349821.46
2024-11,2024,11,1548.202,2155187.41
2024-12,2024,12,1673.0009999999997,2324699.94
2025-01,2025,1,1699.6009999999999,2348037.11
2025-02,2025,2,1610.6190000000001,2196481.7
2025-03,2025,3,1830.1509999999998,2477221.59
2025-04,2025,4,1789.3419999999999,2394925.87
2025-05,2025,5,1867.7450000000001,2514297.01
2025-06,2025,6,1839.5009999999997,2403930.69
2025-07,2025,7,1946.795,2508498.1
2025-08,2025,8,2000.8310000000001,2485472.9
2025-09,2025,9,1963.343,2489736.52
2025-10,2025,10,2070.0919999999996,2727790.71
2025-11,2025,11,2046.6979999999999,2631632.64
2025-12,2025,12,782.354,1111937.24
